participant.label,survey.1.player.package_UBI,survey.1.player.package_penalty,survey.1.player.package_weight_loss,survey.1.player.first_topic,survey.1.player.second_topic,survey.1.player.third_topic,survey.1.player.message_order_UBI,survey.1.player.message_order_penalty,survey.1.player.message_order_weight_loss,survey.1.player.UBI_statement_formulation,survey.1.player.penalty_statement_formulation,survey.1.player.weight_loss_statement_formulation,survey.1.player.big1,survey.1.player.big2,survey.1.player.big3,survey.1.player.big4,survey.1.player.big5,survey.1.player.big6,survey.1.player.big7,survey.1.player.big8,survey.1.player.big9,survey.1.player.big10,survey.1.player.age,survey.1.player.gender,survey.1.player.ethnicity,survey.1.player.country_of_birth,survey.1.player.country_of_residency,survey.1.player.student_status,survey.1.player.employment_status,survey.1.player.occupation_field,survey.1.player.highest_qualification,survey.1.player.init_belief_UBI,survey.1.player.init_belief_penalty,survey.1.player.init_belief_weight_loss,survey.1.player.familiarity_UBI,survey.1.player.familiarity_penalty,survey.1.player.familiarity_weight_loss
P0171,package2,package2,package3,UBI,penalty,weight_loss,3,2,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,1,-1,1,-1,1,-2,2,-2,2,61,1,0,GB,GB,3,1,Carpentry ,2,2,1,0,1,2,0
P0369,package2,package3,package1,penalty,weight_loss,UBI,3,3,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,-1,1,-2,-2,-2,1,1,2,1,35,0,0,GB,GB,3,3,n/a,5,2,0,1,1,-1,0
P0325,package2,package3,package2,penalty,UBI,weight_loss,1,1,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,0,1,0,1,0,0,0,1,0,1,56,1,0,GB,GB,3,2,gardener,4,1,2,-2,0,2,0
P0260,package3,package1,package1,weight_loss,UBI,penalty,1,4,2,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,1,-1,-1,-1,1,0,0,0,1,40,0,0,GB,GB,3,0,Adviser,4,-2,0,-1,1,0,1
P0040,package3,package1,package2,weight_loss,UBI,penalty,3,0,1,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,1,-2,-2,1,1,-1,2,2,65,0,0,GB,GB,3,1,NHS,2,-2,-2,1,-1,2,0
P0366,package3,package1,package3,weight_loss,penalty,UBI,4,0,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,1,0,0,-1,0,-1,1,0,1,42,1,0,GB,GB,3,0,HR Manager,4,0,1,1,-2,2,1
P0157,package3,package2,package1,UBI,weight_loss,penalty,4,1,4,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,1,-1,-2,1,-1,1,2,1,1,46,0,0,GB,GB,3,1,Construction,5,-2,0,1,0,2,0
P0236,package3,package2,package2,UBI,weight_loss,penalty,4,5,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,1,-1,1,1,-1,-1,2,2,2,35,0,0,GB,GB,3,2,Retail,3,2,-1,-1,0,-1,0
P0044,package3,package2,package3,UBI,weight_loss,penalty,5,2,2,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,-2,1,-2,-1,-1,2,0,2,56,1,0,GB,GB,3,0,Healthcare,4,-1,1,-2,0,2,0
P0080,package3,package3,package1,UBI,weight_loss,penalty,0,5,0,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,-1,1,0,-1,0,1,1,1,1,52,0,0,GB,GB,3,0,Retail,3,-2,0,1,1,1,1
P0270,package1,package1,package1,UBI,penalty,weight_loss,3,4,3,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-2,-1,1,-1,-2,2,1,1,2,2,58,0,0,GB,GB,3,2,graphic design,3,-1,-1,-1,0,2,1
P0338,package1,package1,package3,UBI,weight_loss,penalty,0,0,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,-2,2,-2,1,-2,1,-2,1,38,1,0,GB,GB,3,0,Operations manager,5,1,-1,1,0,2,0
P0345,package1,package2,package1,UBI,penalty,weight_loss,0,4,4,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,2,-2,0,1,-2,-2,2,0,1,31,0,0,RU,GB,3,1,e-commerce,5,1,2,0,2,2,1
P0226,package1,package2,package2,UBI,penalty,weight_loss,2,5,4,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,-1,-1,0,-1,-1,1,1,0,1,41,1,0,GB,GB,3,0,Company Director,3,-1,0,1,0,2,-1
P0139,package1,package2,package3,penalty,UBI,weight_loss,3,1,3,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,-1,1,-2,2,-2,1,0,1,39,0,0,GB,GB,3,1,Education,4,2,0,2,0,-1,0
P0075,package1,package3,package1,UBI,penalty,weight_loss,4,4,4,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,0,-1,0,1,0,0,2,1,51,0,0,GB,GB,3,1,Driver,4,-2,1,1,0,-1,-1
P0344,package1,package3,package3,penalty,UBI,weight_loss,1,1,5,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,2,1,1,1,1,0,1,0,1,42,1,0,GB,GB,2,1,Phycology,2,2,0,-2,2,-1,2
P0189,package2,package1,package1,penalty,weight_loss,UBI,4,5,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-2,1,-2,2,-1,2,-1,2,-2,2,70,1,0,GB,GB,3,4,Project Manager,4,-2,-2,2,2,2,1
P0258,package2,package1,package2,weight_loss,UBI,penalty,2,5,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,2,0,-1,1,0,1,2,1,0,30,1,0,GB,GB,3,2,Proofreader,6,0,1,1,2,2,2
P0003,package2,package1,package3,UBI,weight_loss,penalty,2,1,2,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,2,0,1,-2,1,-2,1,-1,2,33,1,0,GB,GB,3,3,N/A,5,-2,-1,1,1,0,0
P0342,package2,package2,package1,penalty,weight_loss,UBI,5,5,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,0,1,-1,1,0,0,0,2,2,1,60,0,0,GB,GB,3,1,financial services,4,0,-1,1,-1,1,2
P0186,package2,package2,package2,weight_loss,UBI,penalty,4,5,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,1,2,-2,-2,-2,0,0,2,2,28,1,0,GB,GB,3,3,Unemployed,2,0,-2,-1,-1,2,-1
P0081,package2,package2,package3,penalty,weight_loss,UBI,0,3,5,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,0,2,-1,0,-1,1,0,2,1,0,67,0,0,GB,GB,3,4,finance,1,-2,2,1,0,0,0
P0106,package2,package3,package1,weight_loss,UBI,penalty,5,3,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,2,1,1,-2,1,0,-1,0,2,61,1,0,GB,GB,3,4,education,3,1,2,-2,0,2,0
P0281,package2,package3,package2,UBI,weight_loss,penalty,4,3,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,-2,-1,1,-2,-2,2,1,-1,2,43,1,0,GB,GB,3,0,Accountancy,3,1,2,2,1,2,0
P0190,package2,package3,package3,penalty,UBI,weight_loss,4,3,0,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,0,0,-2,0,-2,0,-2,2,-1,0,60,1,0,GB,GB,3,4,retired,3,-1,-1,-2,2,2,1
P0401,package3,package1,package1,weight_loss,UBI,penalty,5,2,5,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,-1,-1,-1,-1,0,0,1,1,2,33,0,0,GB,GB,3,2,Author,4,-2,0,1,1,1,0
P0031,package3,package1,package2,penalty,UBI,weight_loss,5,3,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,-2,1,1,2,-1,1,-1,2,58,1,0,GB,GB,3,4,Agricultural worker,3,2,1,-1,1,0,0
P0204,package3,package1,package3,UBI,penalty,weight_loss,0,5,5,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,1,-2,1,-2,-1,-2,2,0,2,37,0,0,GB,GB,3,0,Office manager ,3,2,2,0,1,0,-1
P0002,package3,package2,package1,penalty,weight_loss,UBI,2,1,1,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,-2,1,0,-2,0,1,1,0,0,35,1,0,GB,GB,3,2,Arts,4,0,1,1,1,2,0
P0320,package3,package2,package2,weight_loss,penalty,UBI,2,5,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,-2,1,-2,-1,-2,2,-2,2,72,1,0,GB,GB,3,4,Civil service,2,2,2,1,1,2,1
P0170,package3,package2,package3,weight_loss,UBI,penalty,3,1,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,2,1,2,-2,-2,-2,2,0,0,64,0,0,GB,GB,3,3,Health Care,4,1,2,-1,-1,0,0
P0023,package3,package3,package1,UBI,penalty,weight_loss,3,4,5,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,1,-2,-2,2,1,0,1,2,28,0,0,GB,GB,3,1,Makeup Artist,3,0,2,0,0,1,1
P0328,package3,package3,package2,penalty,UBI,weight_loss,1,3,5,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,-1,-1,1,-1,1,1,1,-1,2,21,0,0,GB,GB,3,1,security,2,-1,-1,-1,1,-2,2
P0127,package1,package1,package1,penalty,weight_loss,UBI,2,5,4,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,2,1,2,-2,-2,-1,2,2,2,28,1,2,GB,GB,3,2,Creative Arts,3,2,-1,1,-1,0,-1
P0427,package1,package1,package2,weight_loss,UBI,penalty,2,1,3,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,0,2,-2,1,-1,2,-2,2,78,1,0,GB,GB,3,4,Archivist and historical researcher ,3,0,0,0,-1,1,0
P0090,package1,package1,package3,weight_loss,UBI,penalty,3,0,4,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,2,2,-1,2,1,2,1,2,-2,21,1,0,GB,GB,1,2,Student ,3,2,1,1,2,2,1
P0136,package1,package2,package1,UBI,penalty,weight_loss,0,2,0,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,-2,-2,1,1,-2,-2,2,-1,-2,62,0,0,GB,GB,3,4,None,4,2,-1,2,0,1,1
P0178,package1,package2,package2,penalty,UBI,weight_loss,5,2,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,2,0,1,-1,1,-2,1,-2,0,52,0,0,GB,GB,3,0,train signaller,3,-1,1,2,0,2,2
P0359,package1,package2,package3,penalty,weight_loss,UBI,1,0,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,2,-1,0,1,-2,1,2,0,1,31,0,1,CN,GB,3,0,Finance,5,2,-1,2,0,-1,-1
P0402,package1,package3,package1,penalty,UBI,weight_loss,0,0,5,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,2,2,1,-2,-1,-2,-1,1,-2,48,0,0,PL,GB,3,1,care sector,5,-1,1,1,-1,0,2
P0397,package1,package3,package2,penalty,weight_loss,UBI,0,0,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,1,-2,0,-2,-1,-2,2,1,2,55,0,0,GB,GB,3,2,Arts,4,2,1,2,1,1,1
P0200,package1,package3,package3,weight_loss,UBI,penalty,4,2,4,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,0,0,1,-2,1,-2,1,-1,2,27,0,0,GB,GB,3,0,Advertising,4,2,0,1,0,-2,-1
P0380,package2,package1,package1,UBI,weight_loss,penalty,0,1,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,-1,1,-1,-1,0,1,-1,1,70,0,0,US,GB,3,1,Admin,5,0,0,-1,1,-1,1
P0403,package2,package1,package2,weight_loss,penalty,UBI,3,2,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,2,2,-2,2,1,1,-2,2,-2,2,42,1,2,GB,GB,3,0,Retail,4,0,1,-1,1,1,1
P0140,package2,package1,package3,UBI,penalty,weight_loss,3,0,2,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,1,0,-1,1,-2,-1,1,2,26,1,0,GB,GB,3,0,Information Technology,4,-1,-2,-1,0,2,1
P0152,package2,package2,package1,UBI,penalty,weight_loss,4,5,1,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,-1,-2,-1,1,-1,1,1,-1,1,36,0,0,GB,GB,3,0,Local Government,4,-1,-1,1,-2,1,0
P0177,package2,package2,package2,weight_loss,penalty,UBI,4,1,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,-2,2,-2,1,0,2,-1,1,40,0,2,GB,GB,3,0,Tech,4,-2,1,-2,1,1,1
P0376,package2,package2,package3,weight_loss,UBI,penalty,3,5,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,-1,2,-1,1,-2,2,-1,0,76,0,0,GB,GB,3,4,N/a,2,1,1,1,-1,-1,0
P0025,package2,package3,package1,weight_loss,penalty,UBI,0,2,1,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,2,2,-2,-1,0,1,-1,2,-1,2,36,0,2,NG,GB,3,0,production operative,4,-2,1,-1,0,2,0
P0010,package2,package3,package2,penalty,UBI,weight_loss,1,1,3,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,0,1,-1,1,2,1,1,1,2,1,32,1,0,GB,GB,3,0,Education ,4,-2,1,-2,-1,2,-2
P0415,package2,package3,package3,UBI,penalty,weight_loss,0,1,5,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,1,-2,1,-1,1,1,2,-1,1,70,0,0,GB,GB,3,1,Educaton,3,-2,2,-1,-2,1,2
P0247,package3,package1,package1,weight_loss,UBI,penalty,2,4,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,0,1,2,-1,2,-1,1,-1,-1,55,1,1,GB,GB,3,0,data analyst,4,1,-2,1,-1,2,0
P0195,package3,package1,package2,penalty,weight_loss,UBI,2,2,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-2,-1,0,1,-2,-1,-1,1,-2,0,49,1,0,GB,GB,3,0,IT,4,0,-1,-1,-1,2,-1
P0246,package3,package1,package3,penalty,weight_loss,UBI,3,4,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,1,-2,1,-1,1,1,2,0,1,53,1,0,GB,GB,3,0,finance,4,1,1,-1,-1,2,-1
P0308,package3,package2,package1,UBI,penalty,weight_loss,4,0,0,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,0,1,-1,0,1,1,1,2,0,21,1,0,GB,GB,1,3,na,4,1,1,0,0,2,2
P0314,package3,package2,package2,UBI,weight_loss,penalty,5,1,0,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,0,-1,2,-1,0,1,2,-2,2,65,1,0,GB,GB,3,0,"Manager, TIC Industry",3,-2,2,0,0,2,0
P0408,package3,package2,package3,UBI,penalty,weight_loss,2,1,5,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,1,0,1,-1,0,-1,1,1,0,35,1,0,GB,GB,1,0,Chartered Accountant ,5,0,0,-2,1,2,0
P0097,package3,package3,package1,weight_loss,UBI,penalty,0,3,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,1,-2,-1,-1,-1,-2,2,1,2,76,1,0,GB,GB,3,4,builder,4,0,-1,0,-1,2,2
P0209,package3,package3,package2,UBI,weight_loss,penalty,1,3,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,1,-1,2,-2,1,-1,2,-2,1,73,1,0,GB,GB,3,4,Engineering,3,2,1,0,2,2,1
P0095,package3,package3,package3,penalty,UBI,weight_loss,0,1,3,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,-1,1,-1,1,-2,2,-1,1,-1,2,56,0,0,GB,GB,3,2,Publishing ,3,-1,0,0,-1,-1,0
P0214,package1,package1,package1,penalty,UBI,weight_loss,4,2,5,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,2,-2,0,0,0,-2,-1,1,-1,0,38,1,0,GB,GB,1,0,it,4,-1,-2,0,0,2,0
P0151,package1,package1,package2,weight_loss,UBI,penalty,0,5,3,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,1,-2,2,-1,1,-2,2,-2,0,70,1,0,GB,GB,3,2,civil engineering consultant in the water industry,4,1,2,1,0,1,0
P0091,package1,package1,package3,penalty,weight_loss,UBI,3,0,3,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,2,1,-2,0,0,-2,-2,2,-1,0,77,1,0,CY,GB,3,4,Engineer,4,2,-1,0,0,2,0
P0056,package1,package2,package1,penalty,weight_loss,UBI,5,3,1,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,2,2,-2,-2,0,-2,1,2,2,0,55,0,0,GB,GB,3,4,housekeeping,2,0,1,1,-2,2,1
P0382,package1,package2,package2,UBI,penalty,weight_loss,0,2,0,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-2,1,-1,2,-1,2,-1,1,-2,1,70,0,0,GB,GB,3,1,Education ,4,-1,-1,2,0,2,2
P0348,package1,package2,package3,UBI,penalty,weight_loss,5,1,2,There should be no Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,-1,0,-1,-2,-2,0,1,2,2,50,0,0,GB,GB,3,2,writer ,3,-1,0,2,-1,-1,-1
P0425,package1,package3,package1,UBI,weight_loss,penalty,0,1,2,Everyone should receive Universal Basic Income.,Penalty shootouts are a bad way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,1,0,-2,0,2,1,1,1,2,-2,43,0,0,GB,GB,3,0,Operations,2,1,-1,2,-1,1,0
P0276,package1,package3,package2,weight_loss,UBI,penalty,2,1,3,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,-1,2,-2,2,0,2,-2,2,-2,1,40,1,0,PL,GB,3,0,HR management,5,1,0,2,-1,2,-1
P0316,package1,package3,package3,weight_loss,penalty,UBI,3,4,0,Everyone should receive Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a bad way to lose weight.,0,1,-2,1,-2,-1,-1,1,-1,2,56,0,0,GB,GB,3,2,Photography,1,2,-1,-1,2,2,1
P0323,package2,package1,package1,penalty,weight_loss,UBI,0,5,0,There should be no Universal Basic Income.,Penalty shootouts are a good way to determine the winners of football matches.,Using weight loss drugs like Ozempic is a good way to lose weight.,1,0,-1,0,-1,-1,0,1,-1,2,29,1,0,GB,GB,3,2,Healthcare,4,0,-1,-2,0,1,1
